"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0165170530278937,2,43,29.2369578881207,"Path:hsa00071 Fatty acid degradation","https://www.genome.jp/kegg-bin/show_pathway?hsa00071"," ADH1B  ACADL"
0.000973029682147057,4,89,28.2514424536896,"Path:hsa04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?hsa04512"," SPP1  TNXB  VWF  CD36"
0.0186484850938346,2,49,25.6569222283508,"Path:hsa05144 Malaria","https://www.genome.jp/kegg-bin/show_pathway?hsa05144"," PECAM1  CD36"
0.00133750005401751,4,115,21.8641598119859,"Path:hsa04670 Leukocyte transendothelial migration","https://www.genome.jp/kegg-bin/show_pathway?hsa04670"," CDH5  PECAM1  JAM2  CLDN5"
0.0240000078132167,2,59,21.3082913421896,"Path:hsa04923 Reg. of lipolysis in adipocytes","https://www.genome.jp/kegg-bin/show_pathway?hsa04923"," FABP4  NPR1"
0.025194790693105,2,64,19.6435810810811,"Path:hsa04927 Cortisol synthesis and secretion","https://www.genome.jp/kegg-bin/show_pathway?hsa04927"," AGTR1  KCNK3"
0.00605513620187149,3,97,19.4410699359153,"Path:hsa04925 Aldosterone synthesis and secretion","https://www.genome.jp/kegg-bin/show_pathway?hsa04925"," AGTR1  KCNK3  NPR1"
0.00605513620187149,3,99,19.048321048321,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","https://www.genome.jp/kegg-bin/show_pathway?hsa04933"," AGER  AGTR1  VEGFD"
0.0265834827270042,2,68,18.4880763116057,"Path:hsa04924 Renin secretion","https://www.genome.jp/kegg-bin/show_pathway?hsa04924"," AGTR1  NPR1"
0.0310534173766709,2,76,16.5419630156472,"Path:hsa03320 PPAR signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa03320"," FABP4  ACADL"
0.00314566124042746,4,159,15.8137004929458,"Path:hsa04514 Cell adhesion molecules","https://www.genome.jp/kegg-bin/show_pathway?hsa04514"," CDH5  PECAM1  JAM2  CLDN5"
0.0124758195011685,3,133,14.1788254419833,"Path:hsa04270 Vascular smooth muscle contraction","https://www.genome.jp/kegg-bin/show_pathway?hsa04270"," RAMP2  AGTR1  NPR1"
0.00472118537711224,4,202,12.4474177147445,"Path:hsa04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?hsa04510"," VEGFD  SPP1  TNXB  VWF"
0.0165170530278937,3,156,12.0883575883576,"Path:hsa04148 Efferocytosis","https://www.genome.jp/kegg-bin/show_pathway?hsa04148"," AGER  PECAM1  CD36"
0.0165170530278937,3,164,11.4986816084377,"Path:hsa04022 cGMP-PKG signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04022"," AGTR1  EDNRB  NPR1"
0.0240000078132167,3,204,9.24403815580286,"Path:hsa05415 Diabetic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?hsa05415"," AGER  AGTR1  CD36"
0.00472118537711224,5,362,8.6822457816933,"Path:hsa04151 PI3K-Akt signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04151"," VEGFD  SPP1  TEK  TNXB  VWF"
0.0334925487596416,3,252,7.48326898326898,"Path:hsa04020 Calcium signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04020"," AGTR1  EDNRB  VEGFD"
